,artist,track_name,track_id,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,Album_Name
23,Bob Dylan,New Danville Girl - Empire Burlesque Outtake,2mtFuEkmXvFFirYgkPZqGQ,0.472,0.591,9,-8.661,1,0.0918,0,0.26,0.573,143.278,712227,4,"Springtime in New York: The Bootleg Series, Vol. 16 / 1980-1985"
24,Bob Dylan,Dark Eyes - Empire Burlesque Alternate Take,4t27kStlP3qBPAepTEedFV,0.425,0.166,7,-12.697,1,0.0355,0,0.0811,0.447,185.489,297760,4,"Springtime in New York: The Bootleg Series, Vol. 16 / 1980-1985"
25,Bob Dylan,I Contain Multitudes,5AJT2Tk8mnDEnCtsikWVu2,0.513,0.0816,0,-19.555,1,0.0782,0.000132,0.108,0.129,132.491,276733,4,Rough and Rowdy Ways
26,Bob Dylan,False Prophet,0JBFlDivbkrskU7oYnjdIU,0.453,0.441,0,-12.408,1,0.0556,1.24E-05,0.147,0.657,78.039,360013,4,Rough and Rowdy Ways
27,Bob Dylan,My Own Version of You,3BQnez3qUm6hdKwxXly7Rw,0.599,0.219,9,-19.148,1,0.316,0.000193,0.0891,0.214,170.841,401360,3,Rough and Rowdy Ways
28,Bob Dylan,I've Made Up My Mind to Give Myself to You,5JqAHgYG2j9hwqCwKZpBUI,0.654,0.154,2,-19.006,1,0.0378,0.000116,0.11,0.331,134.909,392213,3,Rough and Rowdy Ways
29,Bob Dylan,Black Rider,2PqGXNc6kQp4iDRpi6SF5U,0.421,0.115,2,-19.775,0,0.28,5.58E-05,0.11,0.0696,80.937,252893,4,Rough and Rowdy Ways
30,Bob Dylan,Goodbye Jimmy Reed,74mIBeHhMcIpiAej3nBgo4,0.741,0.575,4,-12.431,0,0.0765,1.52E-06,0.172,0.883,100.004,253853,4,Rough and Rowdy Ways
31,Bob Dylan,Mother of Muses,0qI2XsEDWAw04eINOxqwOt,0.461,0.104,2,-20.151,1,0.0624,0.000314,0.108,,143.996,269240,4,Rough and Rowdy Ways
32,Bob Dylan,Crossing the Rubicon,3hTrFDlGEyQGD30rFV4oeW,0.733,0.217,0,-16.811,1,0.0471,0.000338,0.0869,0.549,68.932,442760,4,Rough and Rowdy Ways
33,Bob Dylan,Key West (Philosopher Pirate),0EHVdmnOEIMNQydf0sW2a1,0.434,0.188,9,-18.628,0,0.0433,0.000174,0.0919,0.115,138.77,574133,4,Rough and Rowdy Ways
34,Bob Dylan,Murder Most Foul,1LfTvT9JPYuuZanwxLtZCr,0.393,0.172,0,-19.711,1,0.0413,0.00054,0.0899,0.102,106.844,1014787,4,Rough and Rowdy Ways
35,Bob Dylan,I Pity the Poor Immigrant - Take 4,2Qvk0G9HvOtsycOnK7fvLB,0.633,0.306,2,-12.078,1,0.0354,1.20E-06,0.0502,0.926,126.35,152613,4,"Travelin' Thru, 1967 - 1969: The Bootleg Series, Vol. 15 (Sampler)"
36,Bob Dylan,I Am a Lonesome Hobo - Take 4,4pMuZSy1C2FoJXLv73poP0,0.629,0.345,4,-11.188,0,0.0322,3.77E-06,0.116,0.618,125.026,176453,4,"Travelin' Thru, 1967 - 1969: The Bootleg Series, Vol. 15 (Sampler)"
37,Bob Dylan,To Be Alone with You - Take 1,3GHqs9lItLiAHp1kFjULN9,0.655,0.636,5,-9.703,1,0.0492,2.46E-05,0.131,0.877,132.072,146600,4,"Travelin' Thru, 1967 - 1969: The Bootleg Series, Vol. 15 (Sampler)"
38,Bob Dylan,"Lay, Lady, Lay - Take 2",17vwypfiO0MOENOLqw0kpU,0.522,0.275,11,-14.553,0,0.0313,0.0065,0.119,0.498,150.08,204653,4,"Travelin' Thru, 1967 - 1969: The Bootleg Series, Vol. 15 (Sampler)"
39,Bob Dylan,Tell Me That It Isn't True - Take 2,46gb7fjpnYkLFoFIWTQQVn,0.748,0.532,5,-12.566,1,0.0352,0.00533,0.11,0.731,127.298,127440,4,"Travelin' Thru, 1967 - 1969: The Bootleg Series, Vol. 15 (Sampler)"
40,Bob Dylan,Country Pie - Take 2,6XPSO6H90stw5Wd2c66Xos,0.702,0.723,9,-11.237,1,0.0325,0.0179,0.168,0.846,97.82,127027,4,"Travelin' Thru, 1967 - 1969: The Bootleg Series, Vol. 15 (Sampler)"
41,Bob Dylan,I Still Miss Someone - Take 5,3XQcN8lRz5uGWnkMdo8NC5,0.527,0.394,9,-14.653,1,0.0492,0.0224,0.0548,0.676,169.294,215200,4,"Travelin' Thru, 1967 - 1969: The Bootleg Series, Vol. 15 (Sampler)"
42,Bob Dylan,Matchbox - Take 1,672PNEfhkICYooZ3IOPoWi,0.395,0.645,10,-12.82,Major,0.0755,0.000449,0.148,0.95,176.865,185253,4,"Travelin' Thru, 1967 - 1969: The Bootleg Series, Vol. 15 (Sampler)"
43,Bob Dylan,Big River - Take 1,0CS4pwHml8LCSdVJ1gIKU3,0.745,0.681,4,-12.97,1,0.0623,0.00222,0.173,0.859,108.827,123613,4,"Travelin' Thru, 1967 - 1969: The Bootleg Series, Vol. 15 (Sampler)"
44,Bob Dylan,Girl from the North Country - Rehearsal,3bM1p9F6b4btWTAO9IgXcb,0.507,0.0818,7,-22.694,1,0.0429,4.39E-05,0.308,0.333,126.064,184307,4,"Travelin' Thru, 1967 - 1969: The Bootleg Series, Vol. 15 (Sampler)"
45,Bob Dylan,Guess Things Happen That Way - Take 3,5qJwIIlBhKafAfCnbJHvoY,0.593,0.44,9,-14.566,1,0.0654,8.00E-05,0.111,0.69,84.41,105827,4,"Travelin' Thru, 1967 - 1969: The Bootleg Series, Vol. 15 (Sampler)"
46,Bob Dylan,Wanted Man - Take 1,3w5ecYEMUouguLjRh7CvsB,0.565,0.297,2,-16.682,1,0.045,0,0.12,0.45,79.506,191293,4,"Travelin' Thru, 1967 - 1969: The Bootleg Series, Vol. 15 (Sampler)"
47,Bob Dylan,Ring of Fire - Outtake,54kJQb15wTK67vkFuOo663,0.446,0.451,9,-12.815,1,0.0407,0.0517,0.14,0.76,161.534,147680,4,"Travelin' Thru, 1967 - 1969: The Bootleg Series, Vol. 15 (Sampler)"
48,Bob Dylan,East Virginia Blues (with Earl Scruggs) - Mono,5tjtcbyYUVjLsFBEpevxgR,0.505,0.37,2,-16.042,1,0.0322,0.000137,0.0816,0.889,95.278,154587,4,"Travelin' Thru, 1967 - 1969: The Bootleg Series, Vol. 15 (Sampler)"
49,Bob Dylan,All Along the Watchtower - Take 3,4wZtl1YXpVfsostikIY6zT,0.619,0.436,1,-11.923,0,0.0293,2.45E-05,0.0622,0.762,130.621,151067,4,"Travelin' Thru, 1967 - 1969: The Bootleg Series, Vol. 15 (Sampler)"
50,Bob Dylan,"Tonight I'll be Staying Here With You - S.I.R. Studio Rehearsals, New York, NY - October 1975",0gYHafy5UdwbIHPLyL0gYa,0.636,0.313,10,-12.957,1,0.0344,7.10E-06,0.524,0.635,131.199,179133,4,The Rolling Thunder Revue: The 1975 Live Recordings (Sampler)
