,artist,album,track_name,track_id,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
35,Tina Turner,Private Dancer (30th Anniversary Issue),Help! - 2015 Remaster,2pS0CrdMkR6fdjRmSaWkg2,0.649,0.516,0,-8.324,1,0.0357,2.03E-06,0.121,0.383,126.157,270573,4
36,Tina Turner,Tina!,I'm Ready,6QcX7HbnCE5RIn9qKTVlv6,0.638,0.822,9,-3.688,1,0.0308,0,0.074,0.453,113.005,224413,4
37,Tina Turner,Tina Live,What's Love Got to Do with It - Live in Arnhem,5s0b3c1FUhcXkqn2r6Lqm5,0.553,0.95,7,-3.516,1,0.111,4.54E-05,0.984,0.285,101.183,219240,4
38,Tina Turner,Simply the Best,Love Thing,5aSzAqrAOtzYjWYj4YHJLz,0.722,0.835,8,-5.433,1,0.0306,0.00147,0.0779,0.789,106.845,268333,4
39,Tina Turner,The Best (Demo),The Best (Demo),7vojbJN9YVoG5zxgO8HasR,0.742,0.793,11,-6.709,1,0.0249,2.81E-06,0.0317,0.736,101.997,294347,4
40,Tina Turner,Twenty Four Seven,Whatever You Need,3cAy7GNE2i7XjjEYIYNEhf,0.589,0.835,6,-6.693,1,0.0535,0.000173,0.112,0.654,88.789,286800,4
41,Tina Turner,Tina Live,"River Deep, Mountain High - Live in Arnhem",4ZmqtdMKZDpRbbqZTqN1xw,0.364,0.943,2,-2.941,1,0.0932,2.87E-06,0.977,0.345,156.342,233253,4
42,Tina Turner,Simply the Best,I Want You Near Me,5CV4Husm2Sa76xYOKdNch4,0.821,0.585,10,-8.109,0,0.0441,0.000963,0.0657,0.734,100.031,233160,4
43,Tina Turner,Tina!,It Would Be a Crime,1LBbOYIC57lVyNfChqA1rd,0.635,0.774,7,-4.358,1,0.185,3.21E-06,0.16,0.642,162.982,208027,4
44,Dechen Shak-Dagsay,Beyond (Gold Edition),Purity Of Mind: Lotus Sutra,0SkTpH49dcaoSWOiAnPftB,0.137,0.0533,8,-25.132,1,0.0402,0.409,0.0957,0.034,68.127,401920,3
45,Tina Turner,Tina Live,Jumpin' Jack Flash - Live in Arnhem,2gwclWRoK6Qw4W1SlgfyGE,0.424,0.973,0,-4.046,1,0.0974,0.27,0.746,0.51,149.81,107200,4
46,Tina Turner,All The Best,Great Spirits,3BIUCVxqnvG0RRpT8jTCW8,0.565,0.877,11,-3.438,0,0.0798,6.28E-06,0.141,0.571,85.85,238227,4
47,Tina Turner,Tina!,Acid Queen,1sundllHfSBSLHcU7uk5EY,0.648,0.792,2,-7.188,1,0.0412,0.00181,0.0818,0.752,127.385,180827,4
48,Tina Turner,Love Songs,"Why Must We Wait Until Tonight - 7"" Edit",2vEn9rOnUOp37MBSAa5zjy,0.71,0.659,8,-11.482,1,0.0317,0.00118,0.283,0.739,90.636,269840,4
49,Dechen Shak-Dagsay,Beyond (Gold Edition),Sound Of Mystic Law: Lotus Sutra,3ykWoSJaLhD5TPiqIUorDz,0.377,0.15,0,-16.281,0,0.0526,0.000183,0.0953,0.0782,90.953,271533,3
