,title,author,release_date,peak_weeks,peak_date,total_weeks
0,"I Loves You, Porgy",Nina Simone,08.03.59,1812 Wks,10.05.59,15
1,"To Be Young, Gifted And Black",Nina Simone,12.13.69,7612 Wks,01.17.70,7
2,Do What You Gotta Do,Nina Simone,10.19.68,8312 Wks,10.26.68,5
3,Ain't Got No; I Got Life,Nina Simone,01.04.69,9412 Wks,01.25.69,4
4,Trouble In Mind,Nina Simone,01.23.61,9212 Wks,01.23.61,2
5,Nobody Knows You When You're Down And Out,Nina Simone,09.05.60,9312 Wks,09.12.60,2
