file_name,composer,editor,ficta_factor,ficta_bins
CRIM_Mass_0046_3.mei,Cipriano de Rore,Michael Winter,0.007291082445316881,low
CRIM_Mass_0046_4.mei,Cipriano de Rore,Michael Winter,0.013605442176870748,low
CRIM_Mass_0046_5.mei,Cipriano de Rore,Michael Winter,0.0015337423312883436,low
CRIM_Mass_0047_1.mei,Roland de Lassus,Franz Körndle,0.012612612612612612,low
CRIM_Mass_0047_2.mei,Roland de Lassus,Franz Körndle,0.010256410256410256,low
CRIM_Mass_0047_3.mei,Roland de Lassus,Franz Körndle,0.008812856402280975,low
CRIM_Mass_0047_4.mei,Roland de Lassus,Franz Körndle,0.002044989775051125,low
CRIM_Mass_0047_5.mei,Roland de Lassus,Franz Körndle,0.007692307692307693,low
CRIM_Mass_0048_1.mei,Roland de Lassus,Franz Körndle,0.011214953271028037,low
CRIM_Mass_0048_2.mei,Roland de Lassus,Franz Körndle,0.005774783445620789,low
CRIM_Mass_0048_3.mei,Roland de Lassus,Franz Körndle,0.006748466257668712,low
CRIM_Mass_0048_4.mei,Roland de Lassus,Franz Körndle,0.02040816326530612,low
CRIM_Mass_0048_5.mei,Roland de Lassus,Franz Körndle,0.011406844106463879,low
CRIM_Mass_0049_1.mei,Leonhard Lechner,Franz Körndle,0.02286902286902287,low
CRIM_Mass_0049_2.mei,Leonhard Lechner,Franz Körndle,0.013078470824949699,low
CRIM_Mass_0049_3.mei,Leonhard Lechner,Franz Körndle,0.016877637130801686,low
CRIM_Mass_0049_4.mei,Leonhard Lechner,Franz Körndle,0.011041009463722398,low
CRIM_Mass_0049_5.mei,Leonhard Lechner,Franz Körndle,0.03474903474903475,medium
CRIM_Mass_0050_1.mei,Claudio Merulo,Andrea Puentes-Blanco,0.016415868673050615,low
CRIM_Mass_0050_2.mei,Claudio Merulo,Andrea Puentes-Blanco,0.022106631989596878,low
CRIM_Mass_0050_3.mei,Claudio Merulo,Andrea Puentes-Blanco,0.02181967888019761,low
CRIM_Mass_0050_4.mei,Claudio Merulo,Andrea Puentes-Blanco,0.018826135105204873,low
CRIM_Mass_0050_5.mei,Claudio Merulo,Andrea Puentes-Blanco,0.03485254691689008,medium
CRIM_Model_0001.mei,Johannes Lupi,Marco Gurrieri,0.04604242110708743,medium
CRIM_Model_0002.mei,Thomas Champion,David Fiala,0.007017543859649123,low
CRIM_Model_0003.mei,Anonymous,Marco Gurrieri,0.0,low
