year,album,song,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,,duration_ms,time_signature
1968,The Beatles (white album),Dear Prudence,0.388,0.529,7,-10.533,1,4.36E-02,0.16,0.0681,0.108,0.332,150.721,https://open.spotify.com/track/5NQYyej46WQkgCbnzGD21W,235773,4
1963,With The Beatles,Devil in Her Heart,0.618,0.622,7,-8.861,1,0.0296,0.227,0,0.0438,0.966,121.072,https://open.spotify.com/track/5maTh4fY9SlgR3FhRkf040,146213,4
1970,Let It Be,Dig a Pony,0.538,0.478,11,-8.957,0,0.0388,0.472,0,0.17,0.527,59.004,https://open.spotify.com/track/4OUmlC67FoPLvQNuE5C7kF,235000,4
1970,Let It Be,Dig It,0.54,0.489,5,-12.276,1,0.117,0.659,0.0019,0.457,0.67,157.03,https://open.spotify.com/track/0eRyOunOVBChlXxIvqwOxH,50467,3
1965,Help!,"Dizzy, Miss Lizzy",0.373,0.934,9,-6.753,1,0.0591,0.116,0.00445,0.0962,0.918,136.037,https://open.spotify.com/track/70Dohn82wv6VtxGesqRzbZ,176507,4
1963,Please Please Me,Do You Want to Know a Secret?,0.673,0.349,4,-12.414,1,0.0368,0.608,0,0.38,0.609,124.451,https://open.spotify.com/track/7Aobt67JnaF7qN8jCCKvHq,117013,4
1966,Revolver,Doctor Robert,0.394,0.64,4,-8.992,1,0.0488,0.164,0.139,0.153,0.574,164.626,https://open.spotify.com/track/1ob06Ol8FMIPQgjpg7bMyk,134267,4
1963,With The Beatles,Don't Bother Me,0.371,0.724,2,-9.792,1,0.0562,0.554,0,0.299,0.916,170.377,https://open.spotify.com/track/7y1hMqXNa0dKQLZH7CKbUG,148253,3
1968,The Beatles (white album),Don't Pass Me By,0.599,0.537,0,-9.617,1,0.0254,0.594,0.0000192,0.194,0.946,84.895,https://open.spotify.com/track/4zq4rrfHZeZsTbo5vjJXSV,230453,4
1965,Rubber Soul,Drive My Car,0.754,0.571,2,-8.547,1,4.21E-02,0.0173,0,0.3,0.82,122.463,https://open.spotify.com/track/06ypiqmILMdVeaiErMFA91,148893,4
1964,Beatles for Sale,Eight Days a Week,0.652,0.583,9,-7.811,1,0.038,0.412,0,0.119,0.744,138.134,https://open.spotify.com/track/1Dg4dFJr3HW7sbA7vPejre,163600,4
1966,Revolver,Eleanor Rigby,0.581,0.28,4,-9.091,0,3.81E-02,0.936,0.0000156,0.305,0.813,137.831,https://open.spotify.com/track/5GjPQ0eI7AgmOnADn1EO6Q,126533,4
1964,Beatles for Sale,every little thing,0.74,0.49,2,-9.095,1,0.038,0.488,0,0.103,0.678,123.227,https://open.spotify.com/track/2CxTkdvhDuQrOxl8xXkdJS,123800,4
1968,The Beatles (white album),everybodys got something to hide even you,0.523,0.731,2,-8.613,1,5.59E-02,0.0207,0.000464,0.081,0.81,117.089,https://open.spotify.com/track/64P3zpRsDHIk7YTpRtaKYL,144773,4
1964,Beatles for Sale,Everybody's Trying to Be My Baby,0.543,0.806,4,-7.231,1,0.0385,0.466,0,0.134,0.943,85.172,https://open.spotify.com/track/4DZAH8eiqSAkMIE9l5D71U,146000,4
1967,Sgt. Pepper's Lonely Hearts Club Band,Fixing a Hole,0.469,0.507,0,-8.917,0,4.51E-02,0.382,0,0.0783,0.619,112.984,https://open.spotify.com/track/3pKKxkeB1pOUMHwWBmKc3Y,156827,4
1967,Magical Mystery Tour,Flying,0.551,0.395,0,-14.755,1,5.01E-02,0.368,0.88,0.0932,0.261,92.929,https://open.spotify.com/track/1itLKsCWHtLnxALkgBk1Fa,135520,4
1966,Revolver,For No One,0.483,0.351,1,-10.487,0,0.0278,0.783,0,0.115,0.713,81.208,https://open.spotify.com/track/1kDkaFlmkdEZiVUogaP9OZ,119813,4
1970,Let It Be,For You Blue,0.88,0.556,2,-10.773,1,0.0855,0.24,0.0483,0.24,0.955,128.542,https://open.spotify.com/track/5dpRJkvY8oWMQmQbEQTXhO,152213,4
1970,Let It Be,Get Back,0.761,0.592,2,-9.836,1,0.0586,0.492,0.00626,0.61,0.332,123.095,https://open.spotify.com/track/4MLBqAEzNN89o2M9h92Z26,189387,4
1967,Sgt. Pepper's Lonely Hearts Club Band,Getting Better,0.632,0.471,0,-7.887,1,0.0348,0.313,0.00000508,0.0712,0.764,121.672,https://open.spotify.com/track/3LtOmWpTXLhilL5odoKysR,168120,4
1965,Rubber Soul,Girl,0.699,0.294,5,-13.205,0,0.0294,0.587,0,0.117,0.893,96.615,https://open.spotify.com/track/6tQvjqDIK9GXWIC6mejms8,151720,4
1968,The Beatles (white album),Glass Onion,0.523,0.51,7,-9.827,0,0.0514,0.0123,0.0000838,0.108,0.789,120.432,https://open.spotify.com/track/2jAojvUaPoHPFSPpF0UNRo,137840,4
1969,Abbey Road,Golden Slumbers,0.419,0.152,0,-12.126,1,0.0277,0.326,0.0034,0.113,0.239,80.608,https://open.spotify.com/track/01SfTM5nfCou5gQL70r6gs,91760,4
1966,Revolver,Good Day Sunshine,0.77,0.496,11,-8.45,1,0.0468,0.719,0,0.123,0.571,117.331,https://open.spotify.com/track/7HTH1ppjkkOe7RLoBDKXYJ,129293,3
1967,Sgt. Pepper's Lonely Hearts Club Band,"Good Morning, Good Morning",0.542,0.618,2,-8.876,1,0.139,0.0858,0,0.772,0.93,121.849,https://open.spotify.com/track/0xIuNHHcKI1JDuBPlSwzb1,161227,3
1968,The Beatles (white album),Good Night,0.146,0.355,7,-14.583,1,0.0352,0.865,0.835,0.114,0.178,146.408,https://open.spotify.com/track/3T4Kt51PV4k8tx6YCtBgcl,193760,3
1966,Revolver,Got to Get You into My Life,0.521,0.524,0,-6.136,1,0.0302,0.42,0.00000927,0.0838,0.711,136.679,https://open.spotify.com/track/3tGhRLgcCP6SIZU3tbGl7l,149240,4
1968,The Beatles (white album),Happiness Is a Warm Gun,0.431,0.54,9,-9.6,0,5.89E-02,0.523,0.00000134,0.169,0.44,139.288,https://open.spotify.com/track/71LsKf3xISiOlY1mj7FFPP,164547,4
1967,Magical Mystery Tour,"Hello, Goodbye",0.479,0.733,0,-8.753,1,0.0256,0.306,0.000024,0.414,0.806,99.307,https://open.spotify.com/track/0vZ97gHhemKm6c64hTfJNA,208840,4
1965,Help!,Help!,0.534,0.725,6,-7.576,0,0.0332,0.188,0,0.0994,0.763,95.003,https://open.spotify.com/track/7DD7eSuYSC5xk2ArU62esN,139560,4
1968,The Beatles (white album),Helter Skelter,0.166,0.831,9,-8.469,1,0.0894,0.000606,0.846,0.811,0.281,167.518,https://open.spotify.com/track/0Bs0hUYxz7REyIHH7tRhL2,269787,4
1969,Abbey Road,Her Majesty,0.703,0.215,2,-23.03,1,8.92E-02,0.728,0.00000123,0.13,0.522,100.874,https://open.spotify.com/track/6UCFZ9ZOFRxK8oak7MdPZu,25987,3
1966,Revolver,"Here, There and Everywhere",0.29,0.247,7,-12.125,1,3.83E-02,0.921,0.00565,0.0917,0.36,165.361,https://open.spotify.com/track/2B4Y9u4ERAFiMo13XPJyGP,144880,4
