,artist,album,track_name,track_id,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,popularity,playlist_name
8,B.B. King,Completely Well,The Thrill Is Gone,4NQfrmGs9iQXVQI9IpRhjM,0.547,0.46,11,-8.759,0,0.0256,0.442,0.0983,0.543,90.768,324733,4,63.0,M255 “He had a crush”
9,Led Zeppelin,Led Zeppelin II (1994 Remaster),Ramble On - 1990 Remaster,3MODES4TNtygekLl146Dxd,0.468,0.607,9,-11.367,1,0.0336,0.000852,0.225,0.886,98.429,263333,4,71.0,M255 “He had a crush”
0,Ben E. King,Stand By Me,Stand By Me,2KQM3kDM0zMBC9iynePBbS,0.653,0.334,9,-6.955,1,0.0313,3.47e-05,0.123,0.665,119.46,174253,4,59.0,Guitar Playlist
1,Louis Armstrong,What A Wonderful World,What A Wonderful World,29U7stRjqHU6rMiS8BfaI9,0.271,0.165,5,-20.652,1,0.0351,1.6e-06,0.118,0.203,77.082,139227,4,69.0,Guitar Playlist
2,Wilson Pickett,Hey Jude,Hey Jude,1MMp1H2Kib2BCDtdL5nL63,0.561,0.385,6,-15.33,1,0.0323,0.000496,0.171,0.664,81.599,247733,4,54.0,Guitar Playlist
3,"Peter, Paul and Mary",Album 1700,Leaving on a Jet Plane,6ZSTinOwx5dKFYc6iYyGDn,0.414,0.167,9,-16.519,1,0.0484,0.0,0.117,0.384,133.45,207240,4,64.0,Guitar Playlist
4,Etta James,Tell Mama,I'd Rather Go Blind,1kPBT8S2wJFNAyBMnGVZgL,0.477,0.433,11,-6.473,0,0.0247,0.000195,0.151,0.611,82.52,156653,3,71.0,Guitar Playlist
5,Simon & Garfunkel,Bookends,America,6dfhF1BDGmhM69fnCb6wSC,0.259,0.241,2,-15.955,1,0.042,6.62e-06,0.0849,0.275,178.453,215293,3,65.0,Guitar Playlist
6,Bob Dylan,Highway 61 Revisited,Like a Rolling Stone,3AhXZa8sUQht0UEdBJgpGc,0.482,0.721,0,-6.839,1,0.0321,0.0,0.189,0.557,95.263,369600,4,71.0,Guitar Playlist
7,Leonard Cohen,Songs From A Room,Bird on the Wire,3M0QK0bYdiGMu6JNoPk8YG,0.402,0.114,9,-15.691,1,0.0321,0.0024,0.318,0.191,128.332,206373,3,51.0,Guitar Playlist
8,Led Zeppelin,Led Zeppelin II (1994 Remaster),Ramble On - 1990 Remaster,3MODES4TNtygekLl146Dxd,0.468,0.607,9,-11.367,1,0.0336,0.000852,0.225,0.886,98.429,263333,4,71.0,Guitar Playlist
9,Earl Scruggs,I Saw The Light With Some Help From My Friends,I Saw the Light,15VMHkOlujhlk9kURrcOXU,0.601,0.784,9,-11.794,1,0.0359,0.0,0.247,0.625,122.237,223360,4,32.0,Guitar Playlist
0,Ben E. King,Stand By Me,Stand By Me,2KQM3kDM0zMBC9iynePBbS,0.653,0.334,9,-6.955,1,0.0313,3.47e-05,0.123,0.665,119.46,174253,4,59.0,Communities Playlist
1,Sam Cooke,Ain't That Good News,A Change Is Gonna Come,0KOE1hat4SIer491XKk4Pa,0.212,0.383,10,-10.071,1,0.0347,0.0,0.299,0.452,173.79,191160,3,67.0,Communities Playlist
2,Louis Armstrong,What A Wonderful World,What A Wonderful World,29U7stRjqHU6rMiS8BfaI9,0.271,0.165,5,-20.652,1,0.0351,1.6e-06,0.118,0.203,77.082,139227,4,69.0,Communities Playlist
3,Bill Withers,Just As I Am,Ain't No Sunshine,1k1Bqnv2R0uJXQN4u6LKYt,0.527,0.415,4,-11.451,0,0.122,1.72e-05,0.117,0.515,78.169,125093,4,79.0,Communities Playlist
4,Ray Charles,True Genius,Georgia on My Mind,6yMGxqKj0218mFR5KqsMRq,0.19,0.323,7,-12.405,1,0.0303,2.17e-06,0.176,0.281,94.34,219560,4,60.0,Communities Playlist
5,The Temptations,The Temptations Sing Smokey,My Girl,745H5CctFr12Mo7cqa1BMH,0.572,0.418,0,-10.738,1,0.0349,0.0,0.0961,0.694,104.566,165000,4,80.0,Communities Playlist
6,The Band,The Band,The Night They Drove Old Dixie Down,2nvcTDmZkRWKNMAL29sLHo,0.505,0.483,0,-9.272,1,0.0334,0.0,0.222,0.484,125.839,211787,4,63.0,Communities Playlist
7,Nina Simone,Pastel Blues,Sinnerman,5xRP5iyVdGglqlY4Vcjhkx,0.436,0.543,11,-13.351,0,0.0962,9.35e-06,0.0937,0.663,148.282,622000,4,63.0,Communities Playlist
8,Janis Joplin,I Got Dem Ol' Kozmic Blues Again Mama!,Maybe,0xGSeBsG4V8Scc5YqpZQ66,0.4,0.35,8,-11.401,1,0.0345,0.0397,0.103,0.328,83.389,219133,4,59.0,Communities Playlist
9,Santana,Abraxas,Oye Como Va,5u6y4u5EgDv0peILf60H5t,0.736,0.379,7,-13.208,1,0.0539,0.345,0.104,0.948,128.399,256933,4,67.0,Communities Playlist
0,The Temptations,The Temptations Sing Smokey,My Girl,745H5CctFr12Mo7cqa1BMH,0.572,0.418,0,-10.738,1,0.0349,0,0.0961,0.694,104.566,165000,4,80.0,10 From List of 40
1,Wilson Pickett,Hey Jude,Hey Jude,1MMp1H2Kib2BCDtdL5nL63,0.561,0.385,6,-15.33,1,0.0323,0.000496,0.171,0.664,81.599,247733,4,54.0,10 From List of 40
2,Ray Charles,True Genius,Georgia on My Mind,6yMGxqKj0218mFR5KqsMRq,0.19,0.323,7,-12.405,1,0.0303,2.17e-06,0.176,0.281,94.34,219560,4,60.0,10 From List of 40
3,The Rolling Stones,Let It Bleed,You Can't Always Get What You Want,6lFZbCc7pn6Lme1NP7qQqQ,0.32,0.62,0,-9.686,1,0.0594,6.36e-05,0.253,0.472,86.327,448720,4,69.0,10 From List of 40
4,Wilson Pickett,In the Midnight Hour,In the Midnight Hour,4NRQwaks9r58tTDvr4iEyv,0.75,0.444,4,-8.63,1,0.0403,3.69e-06,0.118,0.849,111.919,157160,4,65.0,10 From List of 40
5,Led Zeppelin,Led Zeppelin II (1994 Remaster),Ramble On - 1990 Remaster,3MODES4TNtygekLl146Dxd,0.468,0.607,9,-11.367,1,0.0336,0.000852,0.225,0.886,98.429,263333,4,71.0,10 From List of 40
6,Otis Redding,Complete & Unbelievable: The Otis Redding Dictionary of Soul,Try a Little Tenderness,36AlMHDBFwSsD3FQOy1R81,0.587,0.133,9,-15.151,0,0.0565,2.26e-05,0.258,0.068,102.938,201733,4,63.0,10 From List of 40
7,Louis Armstrong,What A Wonderful World,What A Wonderful World,29U7stRjqHU6rMiS8BfaI9,0.271,0.165,5,-20.652,1,0.0351,1.6e-06,0.118,0.203,77.082,139227,4,69.0,10 From List of 40
8,Etta James,Tell Mama,I'd Rather Go Blind,1kPBT8S2wJFNAyBMnGVZgL,0.477,0.433,11,-6.473,0,0.0247,0.000195,0.151,0.611,82.52,156653,3,71.0,10 From List of 40
9,"Crosby, Stills & Nash","Crosby, Stills & Nash",Helplessly Hoping - 2005 Remaster,1UKobFsdqNXQb8OthimCKe,0.483,0.159,7,-13.648,1,0.0353,0,0.111,0.423,146.721,157893,4,68.0,10 From List of 40
10,Goth Babe,Encinitas,Encinitas,4tO2Ol08xzay6zcfhDKpuN,0.76,0.577,7,-4.981,1,0.0908,0.00352,0.445,0.553,116.02,171724,4,50.0,10 From List of 40
0,Wilson Pickett,Hey Jude,Hey Jude,1MMp1H2Kib2BCDtdL5nL63,0.561,0.385,6,-15.33,1,0.0323,0.000496,0.171,0.664,81.599,247733,4,54.0,My Father's Playlist
1,"Crosby, Stills & Nash","Crosby, Stills & Nash",Helplessly Hoping - 2005 Remaster,1UKobFsdqNXQb8OthimCKe,0.483,0.159,7,-13.648,1,0.0353,0.0,0.111,0.423,146.721,157893,4,68.0,My Father's Playlist
2,Smokey Robinson & The Miracles,Going To A Go-Go,The Tracks Of My Tears,6QyQmdvQ1ywNccYa0pwLNQ,0.502,0.333,7,-10.914,1,0.0264,0.0,0.222,0.729,96.982,174360,4,64.0,My Father's Playlist
3,The Byrds,Turn! Turn! Turn!,Turn! Turn! Turn! (To Everything There Is a Season),5qBqBdfTEIWJwAS0Jm2F5R,0.451,0.818,2,-8.124,1,0.0439,2.92e-05,0.052,0.755,124.532,229360,4,65.0,My Father's Playlist
4,"Peter, Paul and Mary",Album 1700,Leaving on a Jet Plane,6ZSTinOwx5dKFYc6iYyGDn,0.414,0.167,9,-16.519,1,0.0484,0.0,0.117,0.384,133.45,207240,4,64.0,My Father's Playlist
5,Yusuf / Cat Stevens,Tea For The Tillerman (Remastered 2020),Wild World,7mjSHL2Eb0kAwiKbvNNyD9,0.48,0.542,0,-8.51,1,0.0348,0.000609,0.113,0.567,152.853,200560,4,77.0,My Father's Playlist
6,Ray Charles,True Genius,Georgia on My Mind,6yMGxqKj0218mFR5KqsMRq,0.19,0.323,7,-12.405,1,0.0303,2.17e-06,0.176,0.281,94.34,219560,4,60.0,My Father's Playlist
7,The Impressions,People Get Ready,People Get Ready,6AeG6jSoAVbmUFO6LyYmBf,0.414,0.249,1,-12.674,1,0.0369,8.37e-06,0.188,0.341,142.442,163360,3,59.0,My Father's Playlist
8,Aretha Franklin,Respect - The Very Best of,I Say a Little Prayer,0FD8KMG4pHp0O9clTpChjp,0.59,0.355,9,-14.051,1,0.0352,0.0,0.0585,0.499,133.03,216773,4,59.0,My Father's Playlist
9,Leonard Cohen,Songs From A Room,Bird on the Wire,3M0QK0bYdiGMu6JNoPk8YG,0.402,0.114,9,-15.691,1,0.0321,0.0024,0.318,0.191,128.332,206373,3,51.0,My Father's Playlist
0,Louis Armstrong,What A Wonderful World,What A Wonderful World,29U7stRjqHU6rMiS8BfaI9,0.271,0.165,5,-20.652,1,0.0351,1.6e-06,0.118,0.203,77.082,139227,4,69.0,Whimsical Rover Playlist
1,Sam Cooke,Ain't That Good News,A Change Is Gonna Come,0KOE1hat4SIer491XKk4Pa,0.212,0.383,10,-10.071,1,0.0347,0.0,0.299,0.452,173.79,191160,3,67.0,Whimsical Rover Playlist
