,artist,album,track_name,track_id,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,popularity,playlist_name
2,Pentatonix,A Pentatonix Christmas Deluxe,Hallelujah,0HZk0QsXPhMNAWNDR3rYE8,0.364,0.378,7,-7.381,0,0.0331,0,0.339,0.366,89.918,268960,3,62.0,Hallelujah Covers
3,Kate Voegele,Don't Look Away,Hallelujah,5OqW09kxGmc6b5xGFmln1b,0.593,0.217,2,-7.474,0,0.0282,0,0.117,0.365,107.918,294200,3,40.0,Hallelujah Covers
4,Jason Castro,Jason Castro (Deluxe),Hallelujah,6hsP7b83RjEY51ENfo1ZOc,0.343,0.241,0,-10.98,1,0.0367,0,0.107,0.169,184.232,233240,3,37.0,Hallelujah Covers
5,Junkie XL,Zack Snyder's Justice League (Original Motion Picture Soundtrack),Hallelujah,6y3zNyQbSnMN50uXN0r3X3,0.355,0.193,8,-11.068,1,0.039,3.33e-06,0.132,0.0693,103.78,370787,4,32.0,Hallelujah Covers
6,John Cale,Hallelujah,Hallelujah - Fragments [Single Version],56GBItqD18Be9iN7zGqMX5,0.35,0.272,0,-8.655,1,0.0271,6.88e-06,0.984,0.232,100.325,281919,3,41.0,Hallelujah Covers
7,k.d. lang,Recollection,Hallelujah,5S0pF13mOsTnYweFwFy4D0,0.339,0.184,4,-8.624,1,0.0289,2.71e-06,0.109,0.0989,76.053,308440,4,52.0,Hallelujah Covers
8,Jordan Smith,The Complete Season 9 Collection (The Voice Performance),Hallelujah - The Voice Performance,3LLYIitFpZSmXY95rQxw0E,0.401,0.373,2,-6.947,1,0.0257,0,0.117,0.109,94.523,189093,3,36.0,Hallelujah Covers
9,Alexandra Burke,Overcome,Hallelujah,5IaR621NoOM6i5KTcuNRHM,0.177,0.425,2,-6.211,0,0.0291,0,0.195,0.0942,182.571,217827,3,65.0,Hallelujah Covers
10,Leonard Cohen,Various Positions,Hallelujah,7yzbimr8WVyAtBX3Eg6UL9,0.28,0.344,0,-12.577,1,0.0293,0.00642,0.133,0.232,171.143,277160,3,64.0,Hallelujah Covers
0,Various Artists,80s Pop,"Maniac - From ""Flashdance""",7CML07e8m56LrmgkC4Bl3Z,0.605,0.757,3,-5.897,0,0.0554,2.6e-06,0.0447,0.828,157.714,246000,4,48.0,Before the Night Out
1,Madonna,True Blue (Reissue),La Isla Bonita,6r8k1vznHrzlEKYxL4dZEe,0.724,0.822,1,-4.374,0,0.0333,1.38e-05,0.0553,0.964,99.9,242733,4,74.0,Before the Night Out
2,Sweet,Best Of Sweet,Love Is Like Oxygen,58gcsPyG1xsD4uNtDiMC4c,0.567,0.455,9,-9.896,0,0.0479,2.79e-06,0.118,0.58,123.416,227533,4,46.0,Before the Night Out
3,Jarabe De Palo,La Flaca,La flaca,0ll9JAIrM3NVBOMl45sxSX,0.871,0.481,7,-9.068,1,0.0383,5.54e-05,0.0809,0.664,103.063,261200,4,57.0,Before the Night Out
4,The Cardigans,First Band On The Moon (Remastered),Lovefool,7aQjPecQdIuNd1sz3KCDhD,0.704,0.636,9,-6.029,1,0.0252,0.0,0.35,0.89,111.845,193953,4,74.0,Before the Night Out
5,Daryl Hall & John Oates,H2O,Maneater,7j74lucZ59vqN67Ipe2ZcY,0.724,0.498,11,-13.083,0,0.0423,8.56e-05,0.0761,0.823,88.825,273173,4,76.0,Before the Night Out
