link,timestamp,campus,time,date,location,longitude,latitude,device,sound,recorder,purpose,volume,pitch,distractability,rowdiness,multiplicity,repetition,persistence
https://drive.google.com/drive/folders/19KbrkPLlMwHTAZPDmNjyJSIHwVnzriiF,12/28/2023 17:49:28,Bryn Mawr,7:34,12/20/23,Pem Arch  ,40.0264974,-75.3129909,Zoom H1 Handy Recorder,"People talking and footsteps, wind ",Jade Yu,Transportational; Social; Incidental; Natural,5,2,20,2,3,3,4
https://drive.google.com/drive/folders/19KbrkPLlMwHTAZPDmNjyJSIHwVnzriiF,12/29/2023 17:49:28,Bryn Mawr,7:36,12/20/23,Outside Taylor hall,40.0271426,-75.3133523,Zoom H1 Handy Recorder,wind sounds and peole talking,Jade Yu,Natural; Transportational; Social,4,3,3,2,3,3,2
https://drive.google.com/drive/folders/19KbrkPLlMwHTAZPDmNjyJSIHwVnzriiF,12/30/2023 17:49:28,Bryn Mawr,7:38,12/20/23,Inside Taylor Hall,40.0274704,-75.313305,Zoom H1 Handy Recorder,people passing by and someone writing on chalkboard,Jade Yu,Natural; Transportational; Social; Institutional,2,2,7,9,6,2,6
https://drive.google.com/drive/folders/19KbrkPLlMwHTAZPDmNjyJSIHwVnzriiF,12/31/2023 17:49:28,Bryn Mawr,7:40,12/20/23,Taylor Hall,40.0274152,-75.3130874,Zoom H1 Handy Recorder,taylor bell ringing,Jade Yu,Mechanical; Incidental,5,3,5,2,1,3,2
https://drive.google.com/drive/folders/19KbrkPLlMwHTAZPDmNjyJSIHwVnzriiF,1/1/2024 17:49:28,Bryn Mawr,7:42,12/20/23,Denbeigh common room,40.0275934,-75.3123093,Zoom H1 Handy Recorder,Someone watching youtube and listening to Christmas music,Jade Yu,Social; Incidental; Institutional,4,4,8,7,7,6,2
https://drive.google.com/drive/folders/19KbrkPLlMwHTAZPDmNjyJSIHwVnzriiF,1/2/2024 17:49:28,Bryn Mawr,7:45,12/20/23,Denbeigh kitchen,40.0279433,-75.3125322,Zoom H1 Handy Recorder,Microwave sounds and water ,Jade Yu,Mechanical; Incidental,3,5,3,2,3,2,2
https://drive.google.com/drive/folders/19KbrkPLlMwHTAZPDmNjyJSIHwVnzriiF,1/3/2024 17:49:28,Bryn Mawr,7:47,12/20/23,Merion Parking Lot,40.0282278,-75.3128501,Zoom H1 Handy Recorder,Cars passing by,Jade Yu,Mechanical; Incidental,3,2,4,2,2,2,2
https://drive.google.com/drive/folders/19KbrkPLlMwHTAZPDmNjyJSIHwVnzriiF,1/4/2024 17:49:28,Bryn Mawr,7:48,12/20/23,Merion Common Room,40.0282796,-75.3131739,Zoom H1 Handy Recorder,Someone drinking water from waterfountain,Jade Yu,Incidental,2,6,4,2,2,2,3
https://drive.google.com/drive/folders/19KbrkPLlMwHTAZPDmNjyJSIHwVnzriiF,1/5/2024 17:49:28,Bryn Mawr,7:49,12/20/23,Merion Common Room,40.0282796,-75.3131739,Zoom H1 Handy Recorder,People studying and preparing for exams,Jade Yu,Social; Academic; Incidental,3,3,5,5,2,1,2
https://drive.google.com/drive/folders/19KbrkPLlMwHTAZPDmNjyJSIHwVnzriiF,1/6/2024 17:49:28,Bryn Mawr,7:52,12/20/23,Campus Center,40.0286136,-75.3134693,Zoom H1 Handy Recorder,Laundry machine sounds and people talking,Jade Yu,Mechanical; Social; Incidental; Institutional,9,7,8,9,1,10,2
https://drive.google.com/drive/folders/19KbrkPLlMwHTAZPDmNjyJSIHwVnzriiF,1/7/2024 17:49:28,Bryn Mawr,7:55,12/20/23,Radnor Laundry Room,40.0290883,-75.3137883,Zoom H1 Handy Recorder,People studying and papers rustling,Jade Yu,Academic; Institutional,8,3,5,4,4,3,2
https://drive.google.com/drive/folders/19KbrkPLlMwHTAZPDmNjyJSIHwVnzriiF,1/8/2024 17:49:28,Bryn Mawr,7:56,12/20/23,Radnor Common Room,40.0290883,-75.3137883,Zoom H1 Handy Recorder,Wind howling and leaves crunching,Jade Yu,Natural; Transportational,7,5,5,3,2,3,2
https://drive.google.com/drive/folders/19KbrkPLlMwHTAZPDmNjyJSIHwVnzriiF,1/9/2024 17:49:28,Bryn Mawr,7:58,12/20/23,Senior Row,40.0280801,-75.3140487,Zoom H1 Handy Recorder,accident,Jade Yu,accident,0,0,0,0,0,4,3
https://drive.google.com/drive/folders/19KbrkPLlMwHTAZPDmNjyJSIHwVnzriiF,1/11/2024 17:49:28,Bryn Mawr,8:01,12/20/23,Great Hall,40.0267677,-75.3140336,Zoom H1 Handy Recorder,People studing and footsteps,Jade Yu,Social; Institutional; Transportational,4,3,3,3,2,3,2
https://drive.google.com/drive/folders/19KbrkPLlMwHTAZPDmNjyJSIHwVnzriiF,1/12/2024 17:49:28,Bryn Mawr,8:03,12/20/23,Old Library,40.0269073,-75.3138842,Zoom H1 Handy Recorder,Heater and footsteps,Jade Yu,Mechanical; Transportational,5,4,3,3,4,2,2
https://drive.google.com/drive/folders/19KbrkPLlMwHTAZPDmNjyJSIHwVnzriiF,1/13/2024 17:49:28,Bryn Mawr,8:04,12/20/23,Outside Old Library,40.02656,-75.3137459,Zoom H1 Handy Recorder,Animals making sounds ,Jade Yu,Natural,6,9,3,2,3,2,2
https://drive.google.com/drive/folders/19KbrkPLlMwHTAZPDmNjyJSIHwVnzriiF,1/14/2024 17:49:28,Bryn Mawr,8:05,12/20/23,Carpentar Library,40.0265269,-75.3144316,Zoom H1 Handy Recorder,Ventilation noises,Jade Yu,Mechanical; Transportational,3,4,3,2,2,2,2
https://drive.google.com/drive/folders/19KbrkPLlMwHTAZPDmNjyJSIHwVnzriiF,1/15/2024 17:49:28,Bryn Mawr,8:06,12/20/23,Outside Old library,40.0265197,-75.3139484,Zoom H1 Handy Recorder,Girl talking cantonese on the phone,Jade Yu,Social; Incidental,9,6,8,9,2,5,2
https://drive.google.com/drive/folders/19KbrkPLlMwHTAZPDmNjyJSIHwVnzriiF,1/16/2024 17:49:28,Bryn Mawr,8:09,12/20/23,Rockefellar Arch,40.0259464,-75.3143191,Zoom H1 Handy Recorder,People singing and phone conversations,Jade Yu,Social; Incidental,9,5,8,9,2,2,1
https://drive.google.com/drive/folders/19KbrkPLlMwHTAZPDmNjyJSIHwVnzriiF,1/17/2024 17:49:28,Bryn Mawr,8:11,12/20/23,Enid Cook Center,40.0251654,-75.314044,Zoom H1 Handy Recorder,Footsteps,Jade Yu,Incidental,0,7,3,4,1,1,2
https://drive.google.com/drive/folders/19KbrkPLlMwHTAZPDmNjyJSIHwVnzriiF,1/18/2024 17:49:28,Bryn Mawr,4:59,12/21/23,Enid Cook Center,40.0251654,-75.314044,Zoom H1 Handy Recorder,Exam sounds,Jade Yu,Incidental; Academic,2,3,2,2,3,2,2
