ac,name
1184,"['mass media' 'radio' 'radiophonic sound' '21st c.'
 'academic institutions' 'Germany' 'Halle (Saale)'
 'Burg Giebichenstein Hochschule für Kunst und Design Halle'
 'multisensory design' 'visual and plastic arts' 'sonority' 'sound design'
 'ecology' 'acoustic ecology' 'Schafer, R. Murray' 'writings'
 'terminology' '21st-c. music' 'auditory culture']"
1268,"['congresses, conferences, symposia' 'Switzerland' 'Valais'
 'Rencontres Architecture-Musique-Écologie' 'ecology' 'sound ecology'
 'conferences']"
1320,['sound art' 'relation to ecology' 'ecology' 'relation to sound art']
1406,"['ecology' 'acoustic ecology' 'relation to musicology' 'soundscape'
 'soundscape studies' 'musicology' 'musicology as discipline'
 'relation to acoustic ecology' 'relation to soundscape studies']"
1466,"['Hindemith, Paul' 'style' 'late works' 'music theorists' 'time' 'ecology'
 'relation to Paul Hindemith']"
1535,"['ecology' 'resource extraction' 'relation to music technology'
 'recorded and amplified music' 'environment' 'environmental crisis'
 'relation to resource extraction' 'activities of popular musicians'
 'relation to technology' 'sound recording and reproduction' 'microphone'
 'mic preamp' 'industrial production' 'environmental impact'
 'popular music--general' 'technology' 'amplification and sound recording'
 'relation to political economies and ethics' 'ethics and morals'
 'popular music' 'relation to political economies']"
1536,"['sound recording and reproduction' 'recording formats'
 'history and development' 'relation to economic and ecological cost'
 'late 19th-early 21st c.' 'sound recordings--general' 'popular music'
 'history of sound formats' 'popular music--general' 'sound recordings'
 'ecology' 'resource extraction' 'recording industry'
 'relation to carbon footprint' 'environment' 'environmental crisis'
 'relation to recording industry' 'role in global warming'
 'music industry' 'relation to resource extraction and ecology'
 'economics' 'United States of America' 'role of sound formats'
 'musical life' 'popular music--by place']"
1537,"['Tagaq, Tanya' 'sound recordings' '<Animism>' '<Fracking>' 'environment'
 'environmentalism' 'climate change' '<Nacreous>'
 'Indigenous peoples--Americas' 'Inuit peoples' 'Indigenous music'
 'overtone singing' 'use by Tanya Tagaq' 'performers--popular music'
 'singing--by technique or style'
 'relation to environmentalism and indigenous rights'
 'performers--traditional and neotraditional music' 'mixed media'
 'avant-garde music' 'use of audiovisual media' 'ecology' 'ecosystems'
 'North America' 'relation to oil pipeline politics' 'protest music'
 'protest songs' 'environmentalism and indigenous rights as subjects'
 'avant-garde' '<Retribution>']"
1541,"['time' 'geologic time' 'Anthropocene' 'environmental crisis'
 'environment' 'Field to Media project' 'use of music videos' 'musicology'
 'musicology as discipline' 'ecomusicology' 'ecology' 'film and video'
 'popular music--general' 'politics' 'environmental activism'
 'relation to Field to Media project']"
1543,"['time' 'geologic time' 'Anthropocene' 'environmental crisis'
 'history and development' 'environment' 'relation to popular music'
 'activism and carbon impact' 'music industry' 'practices and procedures'
 'relation to environmental crisis' 'economics' 'capitalism'
 'influence on environmental crisis' 'colonialism' 'environmentalism'
 'popular music' 'relation to carbon impact' 'popular music--general'
 'politics' 'environmental activism' 'performing groups--popular music'
 'Coldplay' 'relation to environmental activism'
 'societies, associations, fraternities, etc.--international'
 'Music Declares Emergency (MDE)' 'Massive Attack' 'Europe' 'history'
 'role of colonialism' 'ecology' 'climate change'
 'relation to Anthropocene'
 'activities of popular musicians and music industry'
 'popular music studies'
 'relation to Anthropocene and environmental crisis' 'mass media'
 'Internet' 'digital distribution'
 'relation to ecology and environmental crisis']"
1556,"['creative process' 'Matthews, Kaffe' 'sonority' 'composition'
 'performers--electronic instruments' 'ecology' 'ecological sonification'
 'sports and games' 'bicycling' 'sonic biking']"
1557,"['time' 'geologic time' 'Anthropocene' 'environmental crisis'
 'history and development' 'environment' 'relation to popular music'
 'activism and carbon impact' 'music industry' 'practices and procedures'
 'relation to environmental crisis' 'environmentalism' 'popular music'
 'relation to carbon impact' 'popular music--general' 'politics'
 'environmental activism' 'ecology' 'climate change'
 'relation to Anthropocene'
 'activities of popular musicians and music industry' 'periodicals'
 '<Popular music>, XXXIX/1' 'ethics and morals' 'technology'
 'environmental impact' 'mass media' 'Internet' 'digital distribution'
 'relation to ecology and environmental crisis']"
1563,"['amateurs' 'community music' 'cultural sustainability'
 'pedagogy--general' 'community music pedagogy' 'ecology'
 'cultural ecology']"
1614,"['Kuret, Stojan' 'interviews' 'on sound ecology' 'Rojko, Uroš'
 'Šijanec, Marjan' 'performers--conducting' 'ecology' 'sound ecology']"
1720,"['ecology' 'acoustic ecology' 'youth' 'listening' 'musical preferences'
 'pedagogy--general' 'music education' 'Schafer, R. Murray' 'writings']"
1738,"['sound design' 'sound design research and practice'
 'use in extended reality applications' 'computer applications'
 'extended reality' 'use of sound design research and practice'
 'movement and gesture' 'human motion'
 'relation to extended reality technology' 'ecology' 'acoustic ecology'
 'use in motion-driven extended reality sound design' 'sound studies'
 'sound theory' 'listening' 'listening theory']"
1743,['ecology' 'sustainability']
1770,"['United Kingdom--Scotland' 'traditional music' 'cultural sustainability'
 'early 21st c.' 'ecology' 'cultural ecology' 'Scotland']"
1842,"['ecology' 'acoustic ecology' 'soundwalking' 'intersubjectivity'
 'ethics and morals' 'improvisation' 'listening' 'Irigaray, Luce'
 'writings' 'concept of love as listening' 'applied to soundwalking'
 'philosophy']"
1858,"['animals' 'birds' 'songbirds' 'Indonesia'
 'relation to singing contests and conservation' 'musical life' 'ecology'
 'nature' 'conservation' 'endangered species'
 'relation to Indonesian singing contests' 'politics'
 'relation to songbird contests' 'Widodo, Joko' 'life']"
1878,"['ecology' 'acoustic ecology' 'listening' 'soundscape' 'terminology'
 '""soundscape""']"
1959,"['ecology' 'climate' 'wind instruments' 'range' 'instruments--wind'
 'influenced by climate' 'range and register']"
2088,['ethnomusicology' 'national and regional studies' 'rainforest' 'ecology']
2185,"['Uganda' 'instruments' 'relation to environment' 'ecology'
 'relation to instruments' 'instruments--string (zither family)'
 'trough zither' 'instruments--wind (woodwind, flute family)' 'flute'
 'instruments--percussion' 'percussion instruments']"
